Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_b.wav' : Signed 16 bit Little Endian, Rate 11025 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Playing WAVE '_e.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
